;sequential;parallel;
2000;328861.000000;526861.000000;18446744073709551616.000000
4000;301945.000000;681805.000000;18446744073709551616.000000
6000;664013.000000;1211204.000000;18446744073709551616.000000
8000;1140402.000000;1842902.000000;18446744073709551616.000000
10000;2383526.000000;3596141.000000;18446744073709551616.000000
12000;4798853.000000;6465199.000000;18446744073709551616.000000
14000;9209996.000000;12501089.000000;18446744073709551616.000000
16000;18066774.000000;24534358.000000;18446744073709551616.000000
18000;36121809.000000;53607633.000000;18446744073709551616.000000
20000;71463406.000000;75754134.000000;18446744073709551616.000000
