;sequential;parallel;
2000;145.000000;370.000000;18446744073709551616.000000
4000;29.000000;402.000000;18446744073709551616.000000
6000;54.000000;469.000000;18446744073709551616.000000
8000;108.000000;1230.000000;18446744073709551616.000000
10000;247.000000;1795.000000;18446744073709551616.000000
12000;844.000000;8922.000000;18446744073709551616.000000
14000;7258.000000;2192.000000;18446744073709551616.000000
16000;1703.000000;3561.000000;18446744073709551616.000000
18000;3369.000000;13263.000000;18446744073709551616.000000
20000;7042.000000;123635.000000;18446744073709551616.000000
