;sequential;parallel;
2000;171314.000000;515080.000000;18446744073709551616.000000
4000;272777.000000;343826.000000;18446744073709551616.000000
6000;552416.000000;618828.000000;18446744073709551616.000000
8000;1094963.000000;1176643.000000;18446744073709551616.000000
10000;2217375.000000;2417637.000000;18446744073709551616.000000
12000;4403751.000000;4591215.000000;18446744073709551616.000000
14000;8802518.000000;9313767.000000;18446744073709551616.000000
16000;17520548.000000;17928500.000000;18446744073709551616.000000
18000;35344541.000000;35766829.000000;18446744073709551616.000000
20000;70106374.000000;71232745.000000;18446744073709551616.000000
