;sequential;parallel;
2000;104.000000;51501.000000;18446744073709551616.000000
4000;190.000000;16682.000000;18446744073709551616.000000
6000;44.000000;122549.000000;18446744073709551616.000000
8000;49.000000;243540.000000;18446744073709551616.000000
10000;280.000000;111694.000000;18446744073709551616.000000
12000;190.000000;1121722.000000;18446744073709551616.000000
14000;351.000000;383374.000000;18446744073709551616.000000
16000;697.000000;1896187.000000;18446744073709551616.000000
18000;8016.000000;1329713.000000;18446744073709551616.000000
20000;4531.000000;7125897.000000;18446744073709551616.000000
