;sequential;parallel;PipelineFarm
2000;409761.000000;1733533.000000;3235636.000000
4000;838365.000000;4535009.000000;4595377.000000
6000;1657411.000000;9341080.000000;16769583.000000
8000;3298069.000000;27562958.000000;14435458.000000
10000;6581844.000000;53477798.000000;35466753.000000
12000;13277243.000000;85660608.000000;89591660.000000
14000;26325281.000000;228354608.000000;141660074.000000
16000;52559237.000000;395764072.000000;245393472.000000
18000;105114799.000000;903956153.000000;626256533.000000
20000;209742442.000000;1655744194.000000;1817804854.000000
