;sequential;parallel;tiled_reduce
2000;274532.000000;566590.000000;609010.000000
4000;552059.000000;734355.000000;782924.000000
6000;1105328.000000;1643954.000000;1529366.000000
8000;2204410.000000;2718067.000000;2688136.000000
10000;4403639.000000;5338861.000000;11565154.000000
12000;8947386.000000;9832111.000000;9852505.000000
14000;17636158.000000;19084253.000000;18705020.000000
16000;35389535.000000;40769047.000000;37158576.000000
18000;71649394.000000;73715445.000000;72675876.000000
20000;141282298.000000;147507387.000000;144096025.000000
