;sequential;parallel;
2000;0.000000;0.000000;18446744073709551616.000000
4000;0.000000;1.000000;18446744073709551616.000000
6000;1.000000;3.000000;18446744073709551616.000000
8000;2.000000;6.000000;18446744073709551616.000000
10000;4.000000;13.000000;18446744073709551616.000000
12000;8.000000;26.000000;18446744073709551616.000000
14000;17.000000;53.000000;18446744073709551616.000000
16000;35.000000;109.000000;18446744073709551616.000000
18000;70.000000;219.000000;18446744073709551616.000000
20000;140.000000;436.000000;18446744073709551616.000000
