;sequential;parallel;
2000;149.000000;336.000000;18446744073709551616.000000
4000;251.000000;197.000000;18446744073709551616.000000
6000;47.000000;561.000000;18446744073709551616.000000
8000;91.000000;2367.000000;18446744073709551616.000000
10000;210.000000;4503.000000;18446744073709551616.000000
12000;363.000000;28686.000000;18446744073709551616.000000
14000;6861.000000;39637.000000;18446744073709551616.000000
16000;1509.000000;27380.000000;18446744073709551616.000000
18000;19970.000000;317260.000000;18446744073709551616.000000
20000;6144.000000;232537.000000;18446744073709551616.000000
