;sequential;parallel;
3000;0.000000;0.000000;18446744073709551616.000000
6000;0.000000;0.000000;18446744073709551616.000000
9000;0.000000;0.000000;18446744073709551616.000000
12000;0.000000;0.000000;18446744073709551616.000000
15000;0.000000;0.000000;18446744073709551616.000000
18000;0.000000;0.000000;18446744073709551616.000000
21000;2.000000;1.000000;18446744073709551616.000000
24000;7.000000;3.000000;18446744073709551616.000000
27000;19.000000;9.000000;18446744073709551616.000000
30000;54.000000;25.000000;18446744073709551616.000000
